PL,MenDel.Name,Category
PL301,EnhancerCluster_Pair_Sox2DHS23andSall1DHS46dn,DHS Level
PL302,EnhancerCluster_Pair_Sox2DHS23andSall1DHS42dn,DHS Level
PL303,EnhancerCluster_Pair_Sox2DHS23andSall1DHS39dnAndSall1DHS40dn,DHS Level
PL304,EnhancerCluster_Pair_Sox2DHS23andSall1DHS36dnAndSall1DHS37dn,DHS Level
PL305,EnhancerCluster_Pair_Sox2DHS23andSall1DHS32dn,DHS Level
PL306,EnhancerCluster_Pair_Sox2DHS23andSall1DHS27dnAndSall1DHS28dn,DHS Level
PL316,EnhancerCluster_HPRT1Rspacer_Sox2DHS24~AvrII~Sox2DHS26,DHS Level
PL322,EnhancerCluster_HPRT1RnoCpGspacer_Sox2DHS24andSox2DHS26,DHS Level
PL328,EnhancerCluster_RP11~158F22spacer_Sox2DHS19andSox2DHS24,DHS Level
PL331,EnhancerCluster_SOX2_DHS16upToDHS27up,DHS Level
PL332,EnhancerCluster_SOX2_DHS21upToDHS27up,DHS Level
PL336,EnhancerCluster_HPRT1RnoCpGspacer_Sox2DHS24andSall1DHS52dnAndSall1DHS53dn,DHS Level
PL337,EnhancerCluster_HPRT1RnoCpGspacer_Sox2DHS23andPrdm14DHS52dn,DHS Level
PL338,EnhancerCluster_HPRT1RnoCpGspacer_Sox2DHS24andSall1DHS46dn,DHS Level
PL339,EnhancerCluster_HPRT1Rspacer_Sox2DHS24~AvrII~Sox2DHS19,DHS Level
PL340,EnhancerCluster_HPRT1Rspacer_Sox2DHS23~AvrII~Sox2DHS19,DHS Level
PL348,EnhancerCluster_HPRT1Rspacer_Sall1DHS39dnAndSall1DHS40dn~AvrII~Sall1DHS52dnAndSall1DHS53dn,DHS Level
PL349,EnhancerCluster_HPRT1Rspacer_Sall1DHS46dn~AvrII~Sox2DHS24,DHS Level
PL350,EnhancerCluster_HPRT1Rspacer_Prdm14DHS57dn~AvrII~Sox2DHS24,DHS Level
PL351,EnhancerCluster_HPRT1Rspacer_Sox2DHS24~AvrII~Prdm14DHS57dn,DHS Level
PL368,EnhancerCluster_Nanog_DHS50dnToDHS65dn,DHS Level
